eBird.English.Name.2021,eBird.Scientific.Name.2021,eBird.Code,Order,Family,IUCN.Category,WPA.Schedule,CITES.Appendix,CMS.Appendix,SOIB.Concern.Status,SOIB.Long.Term.Status,,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,India.Checklist.Common.Name,India.Checklist.Scientific.Name
Ashambu Laughingthrush,Montecincla meridionalis,kerlau3,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),Vulnerable,Schedule-IV,NA,Appendix II,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,NA,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,NA,NA,Ashambu Laughingthrush,Montecincla meridionalis
Ashy Prinia,Prinia socialis,ashpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,NA,Appendix II,Low,Strong Increase,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,Ashy Prinia,Prinia socialis
Ashy Woodswallow,Artamus fuscus,ashwoo2,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Least Concern,Schedule-IV,NA,Appendix II,Moderate,Stable,Strong Decline,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,NA,NA,Ashy Woodswallow,Artamus fuscus
Ashy-crowned Sparrow-Lark,Eremopterix griseus,ascspl1,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Grassland,Resident,NA,NA,Ashy-crowned Sparrow Lark,Eremopterix griseus
Asian Emerald Dove,Chalcophaps indica,emedov2,Columbiformes,Columbidae (Pigeons and Doves),Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,NA,NA,Asian Emerald Dove,Chalcophaps indica
Asian Fairy-bluebird,Irena puella,asfblu1,Passeriformes,Irenidae (Fairy-bluebirds),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Tropical Forest,Resident,NA,NA,Asian Fairy-bluebird,Irena puella
Asian Koel,Eudynamys scolopaceus,asikoe2,Cuculiformes,Cuculidae (Cuckoos),Least Concern,Schedule-IV,NA,NA,Low,Moderate Increase,Strong Increase,Very Large,24 hour,Diurnal,Fruit & Nect,No,No,No,None,None,Resident,NA,NA,Asian Koel,Eudynamys scolopaceus
Banasura Laughingthrush,Montecincla jerdoni,bkclau1,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),Endangered,Schedule-IV,NA,Appendix II,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,NA,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,NA,NA,Banasura Laughingthrush,Montecincla jerdoni
Banded Bay Cuckoo,Cacomantis sonneratii,babcuc2,Cuculiformes,Cuculidae (Cuckoos),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,NA,NA,Banded Bay Cuckoo,Cacomantis sonneratii
Bar-winged Flycatcher-shrike,Hemipus picatus,bwfshr1,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)",Least Concern,Schedule-IV,NA,Appendix II,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,NA,NA,Bar-winged Flycatcher-shrike,Hemipus picatus
Bay-backed Shrike,Lanius vittatus,babshr1,Passeriformes,Laniidae (Shrikes),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland and Scrub,Resident & Local Migrant,NA,NA,Bay-backed Shrike,Lanius vittatus
Baya Weaver,Ploceus philippinus,baywea1,Passeriformes,Ploceidae (Weavers and Allies),Least Concern,Schedule-IV,NA,NA,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident,NA,NA,Baya Weaver,Ploceus philippinus
Black Drongo,Dicrurus macrocercus,bladro1,Passeriformes,Dicruridae (Drongos),Least Concern,Schedule-IV,NA,NA,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,Grassland and Scrub,Resident & Local Migrant,NA,NA,Black Drongo,Dicrurus macrocercus
Black-and-orange Flycatcher,Ficedula nigrorufa,barfly1,Passeriformes,Muscicapidae (Old World Flycatchers),Least Concern,Schedule-IV,NA,Appendix II,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Wooded Habitat,Resident,NA,NA,Black-and-orange Flycatcher,Ficedula nigrorufa
Black-backed Dwarf-Kingfisher,Ceyx erithaca,bkbkin1,Coraciiformes,Alcedinidae (Kingfishers),Least Concern,Schedule-IV,NA,NA,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident & Local Migrant,NA,NA,Oriental Dwarf Kingfisher,Ceyx erithaca
Black-hooded Oriole,Oriolus xanthornus,blhori1,Passeriformes,Oriolidae (Old World Orioles),Least Concern,Schedule-IV,NA,Appendix II,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Wooded Habitat,Resident,NA,NA,Black-hooded Oriole,Oriolus xanthornus
Black-naped Monarch,Hypothymis azurea,blnmon1,Passeriformes,Monarchidae (Monarch Flycatchers),Least Concern,Schedule-IV,NA,Appendix II,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident & Local Migrant,NA,NA,Black-naped Monarch,Hypothymis azurea
Jungle Prinia,Prinia sylvatica,junpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,,Appendix II,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Grassland and Scrub,Resident,NA,NA,Jungle Prinia,Prinia sylvatica
Plain Prinia,Prinia inornata,plapri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,NA,Appendix II,Low,Strong Increase,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,NA,NA,Plain Prinia,Prinia inornata
Gray-breasted Prinia,Prinia hodgsonii,gybpri1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,NA,Appendix II,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,NA,NA,Grey-breasted Prinia,Prinia hodgsonii
Black-rumped Flameback,Dinopium benghalense,bkrfla1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,NA,NA,Low,Stable,Moderate Increase,Very Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,Black-rumped Flameback,Dinopium benghalense
Black-throated Munia,Lonchura kelaarti,bltmun1,Passeriformes,Estrildidae (Waxbills and Allies),Least Concern,Schedule-IV,NA,NA,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,Black-throated Munia,Lonchura kelaarti
Blue-bearded Bee-eater,Nyctyornis athertoni,bbbeat1,Coraciiformes,Meropidae (Bee-eaters),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,NA,NA,Blue-bearded Bee-eater,Nyctyornis athertoni
Blue-eared Kingfisher,Alcedo meninting,blekin1,Coraciiformes,Alcedinidae (Kingfishers),Least Concern,Schedule-IV,NA,NA,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Tropical Forest,Resident,NA,NA,Blue-eared Kingfisher,Alcedo meninting
Blue-faced Malkoha,Phaenicophaeus viridirostris,blfmal1,Cuculiformes,Cuculidae (Cuckoos),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,Blue-faced Malkoha,Phaenicophaeus viridirostris
Blue-tailed Bee-eater,Merops philippinus,btbeat1,Coraciiformes,Meropidae (Bee-eaters),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Resident & Local Migrant,NA,NA,Blue-tailed Bee-eater,Merops philippinus
Brahminy Starling,Sturnia pagodarum,brasta1,Passeriformes,Sturnidae (Starlings),Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,NA,NA,Brahminy Starling,Sturnia pagodarum
Bronzed Drongo,Dicrurus aeneus,brodro1,Passeriformes,Dicruridae (Drongos),Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,NA,NA,Bronzed Drongo,Dicrurus aeneus
Greater Flameback,Chrysocolaptes guttacristatus,grefla1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident,NA,NA,Greater Flameback,Chrysocolaptes guttacristatus
Brown-capped Pygmy Woodpecker,Yungipicus nanus,bncwoo3,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Wooded Habitat,Resident,NA,NA,Brown-capped Pygmy Woodpecker,Yungipicus nanus
Brown-cheeked Fulvetta,Alcippe poioicephala,brcful1,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),Least Concern,Schedule-IV,NA,Appendix II,Moderate,Strong Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident,NA,NA,Brown-cheeked Fulvetta,Alcippe poioicephala
Brown-headed Barbet,Psilopogon zeylanicus,brhbar1,Piciformes,Megalaimidae (Asian Barbets),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,Brown-headed Barbet,Psilopogon zeylanicus
Chestnut-headed Bee-eater,Merops leschenaulti,chbeat1,Coraciiformes,Meropidae (Bee-eaters),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Local Migrant,NA,NA,Chestnut-headed Bee-eater,Merops leschenaulti
Cinereous Tit,Parus cinereus,gretit2,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,NA,NA,Cinereous Tit,Parus cinereus
Common Flameback,Dinopium javanense,comfla1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,NA,NA,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident,1,NA,Common Flameback,Dinopium javanense
Common Hawk-Cuckoo,Hierococcyx varius,cohcuc1,Cuculiformes,Cuculidae (Cuckoos),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Very Large,24 hour,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Wooded Habitat,Resident,NA,NA,Common Hawk Cuckoo,Hierococcyx varius
Common Iora,Aegithina tiphia,comior1,Passeriformes,Aegithinidae (Ioras),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Moderate Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,NA,NA,Common Iora,Aegithina tiphia
Common Myna,Acridotheres tristis,commyn,Passeriformes,Sturnidae (Starlings),Least Concern,Schedule-IV,NA,NA,Low,Stable,Stable,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,NA,NA,Common Myna,Acridotheres tristis
Common Tailorbird,Orthotomus sutorius,comtai1,Passeriformes,Cisticolidae (Cisticolas and Allies),Least Concern,Schedule-IV,NA,Appendix II,Low,Stable,Moderate Increase,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,NA,NA,Common Tailorbird,Orthotomus sutorius
Yellow-crowned Woodpecker,Leiopicus mahrattensis,yecwoo1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,NA,NA,High,Strong Decline,Moderate Decline,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,NA,NA,Yellow-crowned Woodpecker,Leiopicus mahrattensis
Crimson-backed Sunbird,Leptocoma minima,crbsun2,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Least Concern,Schedule-IV,NA,NA,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Wooded Habitat,Resident,NA,NA,Crimson-backed Sunbird,Leptocoma minima
Dark-fronted Babbler,Dumetia atriceps,dafbab1,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Least Concern,Schedule-IV,NA,Appendix II,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,Yes,No,Western Ghats & Sri Lanka,Tropical Forest,Resident,NA,NA,Dark-fronted Babbler,Dumetia atriceps
Dollarbird,Eurystomus orientalis,dollar1,Coraciiformes,Coraciidae (Rollers),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident,NA,NA,Dollarbird,Eurystomus orientalis
Eurasian Collared-Dove,Streptopelia decaocto,eucdov,Columbiformes,Columbidae (Pigeons and Doves),Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident,NA,NA,Eurasian Collared Dove,Streptopelia decaocto
Flame-throated Bulbul,Rubigula gularis,bkcbul1,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,NA,NA,Flame-throated Bulbul,Rubigula gularis
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,asidrc2,Cuculiformes,Cuculidae (Cuckoos),Least Concern,Schedule-IV,NA,NA,Low,Data Deficient,Uncertain,Moderate,24 hour,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident & Local Migrant,NA,NA,Fork-tailed Drongo Cuckoo,Surniculus dicruroides
Gray Junglefowl,Gallus sonneratii,grejun2,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,Appendix II,NA,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Forest,Resident,NA,NA,Grey Junglefowl,Gallus sonneratii
Gray-bellied Cuckoo,Cacomantis passerinus,placuc3,Cuculiformes,Cuculidae (Cuckoos),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Large,24 hour,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,Grey-bellied Cuckoo,Cacomantis passerinus
Gray-fronted Green-Pigeon,Treron affinis,pomgrp2,Columbiformes,Columbidae (Pigeons and Doves),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,NA,NA,Grey-fronted Green Pigeon,Treron affinis
Gray-headed Bulbul,Brachypodius priocephalus,gyhbul1,Passeriformes,Pycnonotidae (Bulbuls),Near Threatened,Schedule-IV,NA,NA,Moderate,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,NA,NA,Grey-headed Bulbul,Brachypodius priocephalus
Great Hornbill,Buceros bicornis,grehor1,Bucerotiformes,Bucerotidae (Hornbills),Vulnerable,Schedule-I,Appendix I,NA,Moderate,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Tropical Forest,Resident,1,NA,Great Hornbill,Buceros bicornis
Greater Coucal,Centropus sinensis,grecou1,Cuculiformes,Cuculidae (Cuckoos),Least Concern,Schedule-IV,NA,NA,Low,Stable,Strong Increase,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,NA,NA,Greater Coucal,Centropus sinensis
Greater Racket-tailed Drongo,Dicrurus paradiseus,grtdro1,Passeriformes,Dicruridae (Drongos),Least Concern,Schedule-IV,NA,NA,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident,NA,NA,Greater Racket-tailed Drongo,Dicrurus paradiseus
Asian Green Bee-eater,Merops orientalis,grbeat1,Coraciiformes,Meropidae (Bee-eaters),Least Concern,Schedule-IV,NA,NA,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,NA,NA,Green Bee-eater,Merops orientalis
Green Imperial-Pigeon,Ducula aenea,gripig1,Columbiformes,Columbidae (Pigeons and Doves),Least Concern,Schedule-IV,NA,NA,NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Tropical Forest,Resident,NA,NA,Green Imperial Pigeon,Ducula aenea
Hair-crested Drongo,Dicrurus hottentottus,hacdro1,Passeriformes,Dicruridae (Drongos),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Wooded Habitat,Resident & Winter Migrant,NA,NA,Hair-crested Drongo,Dicrurus hottentottus
Heart-spotted Woodpecker,Hemicircus canente,heswoo1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,NA,NA,High,Strong Decline,Strong Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident,NA,NA,Heart-spotted Woodpecker,Hemicircus canente
House Crow,Corvus splendens,houcro1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Least Concern,Schedule-V,NA,NA,Low,Moderate Increase,Stable,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Resident,NA,NA,House Crow,Corvus splendens
House Sparrow,Passer domesticus,houspa,Passeriformes,Passeridae (Old World Sparrows),Least Concern,Schedule-IV,NA,NA,Low,Stable,Stable,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident & Winter Migrant,NA,NA,House Sparrow,Passer domesticus
Indian Blackbird,Turdus simillimus,eurbla2,Passeriformes,Turdidae (Thrushes and Allies),Least Concern,Schedule-IV,NA,Appendix II,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,None,Resident & Local Migrant,NA,NA,Indian Blackbird,Turdus simillimus
Indian Gray Hornbill,Ocyceros birostris,inghor2,Bucerotiformes,Bucerotidae (Hornbills),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Very Large,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,Indian Grey Hornbill,Ocyceros birostris
Indian Nuthatch,Sitta castanea,chbnut2,Passeriformes,Sittidae (Nuthatches),Least Concern,Schedule-IV,NA,NA,High,Strong Decline,Moderate Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Wooded Habitat,Resident,NA,NA,Indian Nuthatch,Sitta castanea
Indian Peafowl,Pavo cristatus,compea,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-I,NA,NA,Low,Strong Increase,Moderate Increase,Very Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,Indian Peafowl,Pavo cristatus
Indian Pond-Heron,Ardeola grayii,Resident,Least Concern,Very Large,Low,Pelecaniformes,Ardeidae,Not endemic,,,,,,,,,,,,,,,,,
Indian Robin,Copsychus fulicatus,indrob1,Passeriformes,Muscicapidae (Old World Flycatchers),Least Concern,Schedule-IV,NA,Appendix II,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,Indian Robin,Copsychus fulicatus
Indian Roller,Coracias benghalensis,indrol2,Coraciiformes,Coraciidae (Rollers),Least Concern,Schedule-IV,NA,NA,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,Grassland and Scrub,Resident,NA,NA,Indian Roller,Coracias benghalensis
Indian Scimitar-Babbler,Pomatorhinus horsfieldii,insbab1,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Least Concern,Schedule-IV,NA,Appendix II,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Mainland India,Tropical Forest,Resident,NA,NA,Indian Scimitar Babbler,Pomatorhinus horsfieldii
Indian Silverbill,Euodice malabarica,indsil,Passeriformes,Estrildidae (Waxbills and Allies),Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Grassland and Scrub,Resident,NA,NA,Indian Silverbill,Euodice malabarica
Indian Thick-knee,Burhinus indicus,indthk1,Charadriiformes,Burhinidae (Thick-knees),Least Concern,Schedule-IV,NA,NA,Moderate,Strong Decline,Uncertain,Large,24 hour,24 hour,Invertebrate,No,No,No,None,None,Resident,NA,NA,Indian Thick-knee,Burhinus indicus
Indian White-eye,Zosterops palpebrosus,indwhe1,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",Least Concern,Schedule-IV,NA,Appendix II,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,NA,NA,Indian White-eye,Zosterops palpebrosus
Indian Yellow Tit,Machlolophus aplonotus,indtit1,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Not Evaluated,Schedule-IV,NA,NA,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Mainland India,Wooded Habitat,Resident,NA,NA,Indian Black-lored Tit,Machlolophus aplonotus
Jerdon's Bushlark,Mirafra affinis,jerbus2,Passeriformes,Alaudidae (Larks),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Grassland and Scrub,Resident,NA,NA,Jerdon's Bushlark,Mirafra affinis
Jungle Babbler,Argya striata,junbab2,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),Least Concern,Schedule-IV,NA,Appendix II,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,Jungle Babbler,Argya striata
Jungle Myna,Acridotheres fuscus,junmyn1,Passeriformes,Sturnidae (Starlings),Least Concern,Schedule-IV,NA,NA,Moderate,Uncertain,Moderate Decline,Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,NA,NA,Jungle Myna,Acridotheres fuscus
Large Cuckooshrike,Coracina macei,larcus1,Passeriformes,Campephagidae (Cuckooshrikes),Least Concern,Schedule-IV,NA,NA,High,Strong Decline,Moderate Decline,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,NA,NA,Large Cuckooshrike,Coracina macei
Large-billed Crow,Corvus macrorhynchos,labcro1,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,NA,NA,Large-billed Crow,Corvus macrorhynchos
Laughing Dove,Spilopelia senegalensis,laudov1,Columbiformes,Columbidae (Pigeons and Doves),Least Concern,Schedule-IV,NA,NA,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident,NA,NA,Laughing Dove,Streptopelia senegalensis
Lesser Yellownape,Picus chlorolophus,lesyel1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,NA,NA,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,NA,NA,Lesser Yellownape,Picus chlorolophus
